start_ts,end_ts,duration,program
1381873740,1381875766,2026,Google Chrome
1381908987,1381909650,663,Google Chrome
1381911736,1381912066,330,Google Chrome
1381915099,1381921531,6432,Google Chrome
1381926999,1381927863,864,Google Chrome
1381938000,1381946971,8971,Google Chrome
1381949955,1381955055,5100,Google Chrome
1381956835,1381957995,1160,Google Chrome
1381960306,1381960323,17,Google Chrome
1381962000,1381962480,480,Google Chrome
1381992511,1381992975,464,Google Chrome
1381998741,1382000056,1315,Google Chrome
1382009805,1382010180,375,Google Chrome
1382016934,1382020257,3323,Google Chrome
1382029306,1382029395,89,Google Chrome
1382033743,1382036415,2672,Google Chrome
1382039322,1382044843,5521,Google Chrome
1382047339,1382048191,852,Google Chrome
1382077464,1382077920,456,Google Chrome
1382083572,1382088315,4743,Google Chrome
1382107454,1382109136,1682,Google Chrome
1382116961,1382118180,1219,Google Chrome
1382120729,1382122126,1397,Google Chrome
1382124826,1382125771,945,Google Chrome
1382127435,1382130360,2925,Google Chrome
1382131426,1382132760,1334,Google Chrome
1382135584,1382135687,103,Google Chrome
1382170174,1382171217,1043,Google Chrome
1382174040,1382174202,162,Google Chrome
1382176164,1382176455,291,Google Chrome
1382179316,1382183340,4024,Google Chrome
1382185360,1382185600,240,Google Chrome
1382187590,1382197786,10196,Google Chrome
1382204649,1382206171,1522,Google Chrome
1382209425,1382212738,3313,Google Chrome
1382214720,1382215217,497,Google Chrome
1382219083,1382219520,437,Google Chrome
1382220780,1382221436,656,Google Chrome
1382225940,1382226076,136,Google Chrome
1382257380,1382258355,975,Google Chrome
1382259810,1382261073,1263,Google Chrome
1382267391,1382268136,745,Google Chrome
1382270797,1382279446,8649,Google Chrome
1382281825,1382281951,126,Google Chrome
1382293952,1382296210,2258,Google Chrome
1382299019,1382302200,3181,Google Chrome
1382303983,1382304600,617,Google Chrome
1382306128,1382306161,33,Google Chrome
1382313421,1382313600,179,Google Chrome
1382313600,1382313856,256,Google Chrome
1382342592,1382344606,2014,Google Chrome
1382348700,1382353951,5251,Google Chrome
1382359097,1382370180,11083,Google Chrome
1382372700,1382372806,106,Google Chrome
1382374620,1382379586,4966,Google Chrome
1382385511,1382385811,300,Google Chrome
1382391780,1382391960,180,Google Chrome
1382394749,1382395954,1205,Google Chrome
1382429268,1382432340,3072,Google Chrome
1382434568,1382442406,7838,Google Chrome
1382448495,1382450731,2236,Google Chrome
1382451804,1382451900,96,Google Chrome
1382459680,1382459955,275,Google Chrome
1382466881,1382467260,379,Google Chrome
1382470000,1382470140,140,Google Chrome
1382471949,1382474566,2617,Google Chrome
1382478026,1382478271,245,Google Chrome
1382479320,1382479861,541,Google Chrome
1382481381,1382481436,55,Google Chrome
1382483008,1382483280,272,Google Chrome
1382485440,1382486400,960,Google Chrome
1382486400,1382487450,1050,Google Chrome
1382514967,1382520256,5289,Google Chrome
1382523632,1382523694,62,Google Chrome
1382525655,1382535556,9901,Google Chrome
1382537116,1382537176,60,Google Chrome
1382539459,1382540100,641,Google Chrome
1382542172,1382542205,33,Google Chrome
1382549520,1382550615,1095,Google Chrome
1382554239,1382554711,472,Google Chrome
1382556414,1382557291,877,Google Chrome
1382561306,1382562586,1280,Google Chrome
1382565061,1382565420,359,Google Chrome
1382566727,1382566951,224,Google Chrome
1382598034,1382598255,221,Google Chrome
