x,y
1176,232
1177,222
1164,203
1129,174
1098,158
1071,149
1032,142
1019,142
1011,144
1006,149
1005,157
1016,166
1036,175
1063,180
1092,180
1121,178
1143,163
1154,145
1161,115
1154,80
1124,53
1091,41
1073,40
1046,46
1037,57
1028,80
1028,110
1040,130
1063,150
1091,165
1121,172
1150,173
1168,173
1185,167
1194,149
1194,118
1177,92
1153,70
1132,56
1101,46
1087,46
1076,49
1068,60
1064,80
1064,112
1076,131
1094,150
1118,164
1141,165
1163,165
1182,157
1191,144
1200,117
1199,87
1177,56
1154,41
1125,31
1100,31
1080,43
1076,48
1066,70
1066,112
1077,134
1097,159
1118,174
1142,180
1166,180
1191,176
1211,162
1224,139
1225,127
1222,99
1203,76
1179,62
1149,59
1125,64
1106,81
1090,108
1084,141
1084,171
1089,196
1105,214
1125,222
1152,223
1177,217
1198,201
1211,179
1216,144
1200,113
1178,97
1146,83
1113,80
1085,86
1066,111
1060,137
1060,162
1064,184
1071,195
1075,202
1078,206
1081,207
1081,203
1077,179
1069,150
1063,124
1061,100
1061,86
1070,80
1086,77
1105,77
1123,87
1132,99
1139,115
1141,130
1140,143
1125,154
1105,156
1073,138
1061,120
1045,86
1045,63
1054,48
1076,41
1106,41
1134,48
1156,66
1165,84
1174,114
1173,137
1146,158
1137,160
1084,163
1052,151
1034,132
1020,104
1020,87
1038,71
1063,63
1110,62
1135,65
1162,85
1176,103
1185,129
1185,148
1175,162
1147,172
1110,172
1065,153
1042,130
1027,100
1025,71
1033,51
1057,36
1094,32
1127,39
1149,58
1160,82
1161,106
1155,124
1136,135
1112,137
1092,132
1081,111
1080,77
1101,53
1131,47
1155,47
1175,53
1190,72
1191,88
1183,102
1170,108
1153,113
1139,115
1126,115
1124,114
1122,112
1120,109
1120,105
1120,100
1120,97
1120,92
1122,88
1124,86
1126,85
1127,84
1128,84
1129,84
1129,83
1131,83
1132,83
1133,83
1133,84
1133,85
1134,85
1134,86
1134,86
1135,86
1136,86
1137,87
1138,87
1138,88
1126,95
1101,120
1080,153
1067,180
1055,213
1049,251
1048,292
1048,331
1059,365
1070,382
1088,406
1106,417
1128,426
1152,439
1175,453
1194,469
1205,482
1221,506
1230,530
1236,563
1242,605
1245,651
1245,689
1245,708
1243,728
1238,743
1231,752
1226,759
1219,765
1213,771
1205,776
1198,781
1194,783
1190,786
1188,787
1186,788
1185,788
1182,774
1179,760
1174,741
1166,712
1163,686
1161,657
1160,633
1160,594
1160,571
1160,560
1161,542
1164,527
1167,511
1170,497
1172,486
1173,479
1174,473
1175,470
1175,468
1174,468
1173,468
1173,469
1173,470
1173,471
1173,474
1173,480
1173,486
1173,492
1173,495
1173,497
1173,497
1173,497
1173,498
1172,501
1170,507
1167,516
1165,521
1161,533
1158,545
1154,560
1152,573
1149,588
1149,605
1149,614
1149,625
1149,634
1149,641
1149,647
1149,651
1149,654
1149,659
1148,666
1146,671
1142,677
1137,689
1133,696
1127,705
1125,711
1122,715
1120,718
1118,718
1118,717
1117,715
1116,703
1112,686
1108,672
1103,661
1098,652
1095,649
1093,648
1091,648
1090,648
1090,646
1090,645
1090,643
1090,637
1090,628
1090,611
1090,590
1090,562
1091,536
1094,515
1097,491
1102,468
1104,456
1106,440
1106,427
1106,415
1106,398
1106,392
1105,383
1104,379
1103,378
1102,378
1101,378
1101,378
1100,378
1098,380
1094,390
1088,408
1084,440
1082,479
1082,527
1082,574
1082,618
1082,649
1085,683
1087,705
1088,716
1088,729
1088,737
1088,743
1086,750
1082,756
1077,762
1070,766
1061,767
1058,767
1051,766
1045,761
1040,740
1038,713
1037,658
1037,601
1048,542
1062,481
1081,418
1093,381
1103,351
1107,338
1110,328
1111,324
1109,323
1102,333
1086,367
1073,418
1061,490
1057,544
1056,604
1056,639
1056,671
1061,701
1066,714
1071,732
1072,743
1073,757
1073,765
1073,771
1069,774
1062,775
1050,767
1036,744
1023,710
1015,672
1011,627
1010,580
1010,530
1016,484
1023,457
1030,430
1033,420
1035,411
1035,408
1036,405
1034,404
1026,398
1022,397
1010,394
999,394
981,420
963,469
955,513
952,572
952,615
958,649
966,674
971,689
976,699
978,710
979,716
979,720
976,726
972,729
965,732
950,732
946,728
935,711
926,694
914,655
909,611
908,564
908,515
908,487
910,463
914,440
917,424
919,411
921,394
922,383
922,373
920,370
916,367
910,366
904,366
899,366
890,372
876,405
862,457
854,530
854,605
854,647
860,692
865,711
870,723
873,734
875,740
876,742
874,745
871,747
857,753
842,757
821,761
794,762
777,759
763,746
752,725
740,681
738,644
737,628
737,605
737,593
737,573
741,565
746,557
752,549
760,544
774,542
795,541
817,541
835,544
860,552
883,555
903,558
932,558
959,558
984,554
1008,546
1021,540
1033,529
1038,523
1043,517
1044,514
1043,506
977,458
964,455
914,446
872,457
826,497
805,523
785,555
775,585
770,612
768,659
771,688
784,724
799,756
806,768
809,774
811,781
811,786
804,799
791,799
775,799
744,799
719,799
692,788
668,768
650,746
639,733
631,718
626,706
624,691
624,675
624,668
624,659
629,651
640,645
660,638
687,631
724,625
768,620
810,615
855,611
897,604
935,594
967,583
991,570
1009,552
1024,520
1037,461
1041,391
1042,334
1042,287
1038,264
1025,242
1002,229
976,228
938,235
907,258
876,295
846,348
828,393
808,469
808,511
816,549
845,589
868,607
902,624
942,634
979,642
1002,645
1027,649
1039,651
1049,655
1052,660
1053,672
1046,690
1024,710
975,727
901,729
841,699
803,660
766,594
746,517
743,442
752,367
793,261
820,211
855,152
886,103
905,77
924,48
934,33
939,24
943,15
944,12
944,10
943,9
932,7
918,6
900,4
884,3
871,3
860,3
850,7
841,12
836,17
833,21
831,22
833,23
838,23
850,32
863,44
880,57
897,71
913,83
926,92
939,101
953,109
960,115
966,118
970,121
972,123
975,126
980,130
988,137
996,142
1005,147
1013,150
507,128
509,117
514,120
561,162
561,162
598,194
636,225
663,249
691,274
706,286
714,295
718,299
721,300
722,301
722,301
722,303
722,305
722,313
718,334
714,355
706,393
700,425
695,458
692,477
689,504
689,504
689,509
689,511
689,513
689,514
693,521
706,540
729,573
770,625
814,677
827,696
846,722
856,739
861,752
861,763
861,770
849,775
833,776
810,776
785,766
761,750
744,731
730,708
719,683
702,641
690,620
679,615
664,605
631,574
576,502
545,444
527,392
501,293
497,276
494,277
479,284
457,293
422,301
365,302
311,297
256,275
220,257
184,239
168,229
159,222
158,222
150,221
136,214
121,209
111,205
104,201
100,200
98,199
97,198
92,187
88,181
83,175
82,171
82,169
82,168
82,165
82,160
84,153
89,146
94,140
97,136
102,129
105,127
111,124
118,123
122,122
130,121
141,121
155,122
167,125
178,129
189,134
199,138
210,144
223,153
230,161
235,167
243,178
250,191
259,213
265,227
269,243
271,253
273,263
274,270
274,275
274,248
299,162
351,93
425,15
673,0
908,0
1097,0
1205,0
1221,0
1229,0
1235,0
1238,0
1239,0
1240,0
1242,0
1243,0
1246,0
1251,0
1255,0
1256,0
1257,0
729,402
727,404
719,410
707,418
683,430
650,444
621,457
584,474
566,480
552,486
542,488
537,489
531,489
524,489
505,489
454,496
390,509
287,530
207,550
152,566
144,568
125,574
115,577
111,578
109,579
109,580
110,580
110,582
108,590
103,604
98,618
96,626
94,637
94,646
94,660
103,682
118,704
129,717
152,736
171,747
189,757
204,763
218,768
228,771
235,773
238,774
240,774
98,776
24,776
0,776
0,776
0,776
0,774
0,774
0,773
0,773
0,773
0,773
0,772
0,771
0,771
0,770
0,768
0,767
6,766
6,766
12,766
21,766
28,766
34,766
38,766
41,766
42,768
43,768
43,769
46,769
51,769
75,762
119,753
184,739
251,724
316,706
381,684
430,665
454,652
473,639
480,631
485,625
487,620
489,619
489,618
